invoice;custID;prodID;salesDate;amt;qty;discounted
1;28;81;31/12/2008;12483,78;102;0
2;28;7;31/12/2009;16580,54;38;0
3;10;79;24/05/2007;29300,67;189;0
4;10;18;24/05/2006;87598,08;192;0
4;10;39;24/05/2006;6322,68;21;0
4;10;61;24/05/2006;27133,9;95;0
5;6;56;30/06/2005;37730,99;187;0
6;31;68;04/03/2009;58305,83;137;0
7;6;42;30/06/2006;62683,04;112;0
8;31;11;04/03/2006;20195,1;57;0
8;31;101;04/03/2006;29417,82;102;0
9;17;3;26/06/2010;30033,41;121;0
9;17;91;26/06/2010;62534,8;127;0
10;28;2;31/12/2005;32116,14;63;0
10;28;96;31/12/2005;20140,44;188;0
10;28;91;31/12/2005;20188,4;41;0
10;28;16;31/12/2005;53010,4;115;0
11;23;104;06/07/2007;45437,37;157;0
12;31;74;07/03/2010;30129,84;111;0
13;40;63;13/03/2006;12923,95;65;0
14;40;47;13/03/2007;7643,7;54;0
14;40;86;13/03/2007;45983,09;113;0
15;25;90;20/05/2005;8806,56;21;0
16;25;65;20/05/2006;21910,98;182;0
17;25;101;20/05/2008;43838,32;152;0
17;25;16;20/05/2008;76980,32;167;0
18;34;1;13/05/2010;19301,49;117;0
18;34;17;13/05/2010;12113,22;42;0
19;36;36;20/01/2009;50455,44;126;1
20;36;34;20/01/2008;6099,03;21;1
20;36;65;20/01/2008;6260,28;52;0
21;19;29;27/02/2009;8624,95;17;0
21;19;46;27/02/2009;99031,59;191;0
21;19;77;27/02/2009;4980,8;10;0
22;20;40;19/09/2009;26163,8;145;1
22;20;13;19/09/2009;24778,29;71;1
23;4;56;15/05/2005;39345,15;195;0
23;4;23;15/05/2005;43627,1;187;0
24;36;87;20/01/2005;16875,6;35;0
25;25;7;05/09/2010;7417,61;17;0
25;25;54;05/09/2010;7500,99;23;0
25;25;17;05/09/2010;57682;200;0
26;19;90;29/10/2010;58291,04;139;0
26;19;29;29/10/2010;87771,55;173;0
26;19;52;29/10/2010;16764,03;29;0
27;36;64;20/01/2006;91664,45;157;0
28;24;105;09/07/2007;42345,68;152;0
29;36;36;23/05/2005;90422,64;196;0
30;21;104;18/10/2007;31835,1;110;0
30;21;94;18/10/2007;19832,4;35;0
31;21;46;18/10/2005;48837,6;112;1
32;20;5;19/04/2009;3973,62;14;0
33;21;72;18/10/2008;21047,52;156;0
34;21;9;18/10/2009;52314,12;177;0
34;21;18;18/10/2009;48361,44;106;0
35;20;104;19/04/2008;50936,16;176;0
36;33;35;02/07/2008;100659;178;0
37;24;7;17/02/2010;78103,07;179;0
37;24;4;17/02/2010;39141,96;156;0
38;12;71;25/01/2010;49030,52;154;0
38;12;29;25/01/2010;28918,95;57;0
38;12;34;25/01/2010;23493,12;69;0
39;9;59;03/01/2010;31343,75;85;0
40;8;66;03/07/2010;9721,6;49;0
40;8;69;03/07/2010;35601,93;81;0
41;18;35;14/11/2005;87380,59;191;1
41;18;97;14/11/2005;31675,14;63;1
42;8;18;26/12/2006;91248;200;0
43;18;18;14/11/2007;75279,6;165;0
43;18;73;14/11/2007;43933,89;147;0
44;10;24;24/05/2008;30098;101;0
44;10;69;24/05/2008;41315,82;94;0
45;11;93;19/08/2005;30656,77;61;0
45;11;58;19/08/2005;5328,64;23;0
46;26;63;04/12/2007;26444,39;133;0
46;26;70;04/12/2007;57269,24;98;0
46;26;10;04/12/2007;33584,4;60;0
47;37;19;26/08/2009;20535,9;165;0
47;37;49;26/08/2009;70968,75;125;0
47;37;13;26/08/2009;6017,06;14;0
47;37;71;26/08/2009;54442,98;171;0
48;23;43;15/05/2008;6930;14;0
48;23;40;15/05/2008;30307,21;151;0
49;21;91;01/08/2005;19696;40;0
49;21;12;01/08/2005;3292,68;12;0
50;21;72;01/08/2007;4182,52;31;0
51;21;8;01/08/2006;111022,7;190;0
51;21;80;01/08/2006;72107,03;151;0
52;34;64;14/06/2010;78819,75;135;0
53;21;105;01/08/2008;52096,33;187;0
54;28;12;31/12/2007;2743,9;10;0
55;23;102;15/05/2007;6361,2;20;0
56;11;17;19/08/2008;52490,62;182;0
57;37;5;26/08/2005;38600,88;136;0
57;37;24;26/08/2005;22350;75;0
57;37;96;26/08/2005;12855,6;120;0
58;3;41;01/08/2007;20189,52;117;0
59;12;105;03/04/2007;33709,39;121;0
60;34;44;04/07/2010;7469,28;38;0
61;10;45;07/08/2010;85146,88;172;0
61;10;15;07/08/2010;10165,76;64;0
61;10;93;07/08/2010;55785,27;111;0
61;10;51;07/08/2010;70196,85;141;0
62;25;66;14/06/2007;37497,6;189;0
63;25;81;14/06/2006;16033,09;131;0
64;34;49;25/05/2010;75510,75;133;0
64;34;63;25/05/2010;33602,27;169;0
64;34;43;25/05/2010;76725;155;0
64;34;38;25/05/2010;41489,76;183;0
65;5;7;15/09/2010;23125,49;53;0
66;33;30;02/07/2006;47314,44;167;0
67;15;63;10/04/2006;15707,57;79;0
67;15;38;10/04/2006;28340;125;0
68;15;86;10/04/2007;30519,75;75;0
68;15;67;10/04/2007;31780,92;159;0
69;15;45;10/04/2008;27722,24;56;0
70;15;53;10/04/2009;49543,52;104;0
71;27;100;18/07/2006;44148,52;118;0
71;27;16;18/07/2006;46096;100;0
72;33;21;02/07/2007;54331,2;96;0
73;27;49;25/12/2006;82323,75;145;0
74;38;79;15/07/2009;21394,14;138;0
75;21;68;24/07/2005;22130,68;52;0
76;38;62;15/07/2007;28918,38;57;0
76;38;69;15/07/2007;23734,62;54;0
77;38;21;15/07/2006;74705,4;132;0
78;10;27;03/07/2010;49563,99;147;0
79;25;88;25/09/2005;8332,2;36;0
80;25;31;25/09/2006;42925,05;105;0
81;25;91;25/09/2007;58595,6;119;0
82;25;69;25/09/2009;61973,73;141;0
83;7;30;10/05/2005;11332,8;40;0
84;20;20;23/05/2008;45522,96;196;0
85;33;12;24/05/2010;39786,55;145;0
85;33;17;24/05/2010;23361,21;81;0
86;29;103;12/05/2005;12335;25;0
87;1;15;22/04/2006;7624,32;48;0
88;36;22;01/11/2006;68405,4;140;0
88;36;58;01/11/2006;30813,44;133;0
89;36;99;01/11/2005;91048,2;172;0
89;36;82;01/11/2005;15121,89;147;0
90;8;100;27/03/2008;67719,34;181;0
91;8;98;27/03/2009;20535,2;152;0
92;40;33;15/05/2006;26511,9;67;0
92;40;39;15/05/2006;20774,52;69;0
92;40;59;15/05/2006;17331,25;47;0
93;40;33;15/05/2007;41548,5;105;0
93;40;17;15/05/2007;42684,68;148;0
93;40;26;15/05/2007;45649;191;1
94;40;62;15/05/2008;43862,51;107;1
94;40;20;15/05/2008;38016,54;186;1
95;40;96;15/05/2009;4633,5;50;1
95;40;95;15/05/2009;83299,44;179;1
96;8;8;27/03/2006;63107,64;108;0
97;8;52;27/03/2007;8671,05;15;0
97;8;78;27/03/2007;31487,94;99;0
98;38;19;29/12/2006;23896,32;192;0
98;38;28;29/12/2006;105064,32;192;0
98;38;37;29/12/2006;39750,76;68;0
99;13;93;15/09/2006;90965,17;181;0
100;38;2;29/12/2005;61683,38;121;0
101;34;8;05/04/2009;112775,69;193;0
101;34;35;05/04/2009;63901,5;113;0
102;10;84;26/04/2005;14461,2;65;0
102;10;23;26/04/2005;6765,7;29;0
103;10;74;26/04/2006;21172,32;78;0
104;10;3;26/04/2008;18119,33;73;0
104;10;51;26/04/2008;15433,35;31;0
105;24;43;29/02/2008;18315;37;0
106;12;93;23/07/2010;16082,24;32;0
107;35;14;30/04/2010;35685,02;83;0
107;35;34;30/04/2010;35409,92;104;0
108;36;80;20/01/2007;30561,92;64;0
109;38;50;16/04/2007;70266,92;134;0
110;30;10;13/08/2006;91237,62;163;0
111;30;84;13/08/2007;21135,6;95;0
111;30;90;13/08/2007;58291,04;139;0
112;15;51;01/01/2006;30368,85;61;0
112;15;102;01/01/2006;48345,12;152;0
112;15;7;01/01/2006;41015,02;94;0
113;18;12;17/02/2008;8780,48;32;0
113;18;55;17/02/2008;76343,4;140;0
114;11;21;03/05/2009;31693,2;56;0
114;11;2;03/05/2009;83094,14;163;0
114;11;69;03/05/2009;77796,81;177;0
115;11;36;03/05/2008;11072,16;24;0
115;11;48;03/05/2008;47457,9;135;0
116;11;56;03/05/2006;19773,46;98;0
117;30;8;04/12/2006;28632,17;49;0
117;30;29;04/12/2006;20801,35;41;0
118;15;96;01/01/2009;12534,21;117;0
119;15;42;01/01/2008;13432,08;24;0
119;15;20;01/01/2008;7200,06;31;0
120;17;86;29/06/2010;80572,14;198;0
121;23;47;15/01/2007;15428,95;109;0
121;23;81;15/01/2007;23009,32;188;0
121;23;102;15/01/2007;20673,9;65;0
122;23;8;15/01/2005;33891,14;58;0
123;12;32;19/10/2005;72189,92;176;0
123;12;45;19/10/2005;6930,56;14;0
124;12;7;19/10/2006;20071,18;46;0
124;12;65;19/10/2006;3972,87;33;0
125;12;56;19/10/2009;24010,63;119;0
125;12;28;19/10/2009;80439,87;147;0
125;12;84;19/10/2009;30257,28;136;0
125;12;20;19/10/2009;14864,64;64;0
126;12;42;19/10/2008;111934;200;0
127;23;55;15/01/2009;52895,07;97;0
128;22;95;13/03/2010;54972,28;101;0
129;29;102;02/09/2009;30215,7;95;0
130;16;99;28/03/2008;24350,1;46;0
131;25;102;30/11/2006;22582,26;71;0
132;10;75;25/10/2008;13487,79;93;0
132;10;39;25/10/2008;35527,44;118;0
133;10;80;25/10/2009;76882,33;161;0
133;10;57;25/10/2009;11341,1;47;0
133;10;54;25/10/2009;44679,81;137;0
134;10;4;25/10/2007;33872,85;135;0
134;10;102;25/10/2007;46118,7;145;0
135;25;85;30/11/2008;17680,68;107;0
136;16;60;28/03/2005;63153,2;124;0
137;29;77;02/09/2007;59271,52;119;0
137;29;32;02/09/2007;39786,49;97;0
138;16;17;28/03/2006;10382,76;36;0
138;16;82;28/03/2006;13270,23;129;0
138;16;93;28/03/2006;54277,56;108;0
138;16;38;28/03/2006;39222,56;173;0
139;28;100;13/05/2010;17210,44;46;0
140;34;59;19/01/2007;8112,5;22;0
141;14;50;21/08/2007;86522,7;165;0
142;34;35;19/01/2006;65032,5;115;0
143;27;54;08/12/2005;47614,98;146;0
143;27;27;08/12/2005;25287,75;75;0
143;27;47;08/12/2005;7360,6;52;0
143;27;81;08/12/2005;22519,76;184;0
144;29;30;29/05/2005;12182,76;43;0
145;29;103;29/05/2006;42432,4;86;0
146;27;73;08/12/2006;56785,3;190;0
146;27;26;08/12/2006;12430,44;44;0
146;27;105;08/12/2006;50981,97;183;0
147;15;46;10/08/2008;99550,08;192;0
148;34;45;19/01/2005;16336,32;33;0
148;34;81;19/01/2005;24478;200;0
149;12;56;19/09/2009;18562,84;92;0
150;15;16;10/08/2005;21665,12;47;0
150;15;12;10/08/2005;19756,08;72;0
151;12;75;19/09/2005;17838,69;123;0
152;15;84;10/08/2007;16018,56;72;0
152;15;50;10/08/2007;84425,18;161;0
152;15;105;10/08/2007;32873,62;118;0
153;37;8;10/09/2007;6427,63;11;0
154;37;94;10/09/2006;58930,56;104;0
154;37;23;10/09/2006;18664;80;0
155;33;65;26/05/2005;22392,54;186;0
156;33;98;26/05/2006;26344,5;195;0
157;33;16;26/05/2007;91731,04;199;0
157;33;77;26/05/2007;18428,96;37;0
157;33;60;26/05/2007;9676,7;19;0
158;11;84;26/09/2009;38489,04;173;0
159;20;93;10/03/2009;14574,53;29;0
160;33;87;26/05/2009;87753,12;182;0
160;33;23;26/05/2009;20297,1;87;0
161;34;31;19/01/2008;54371,73;133;0
161;34;1;19/01/2008;31509,27;191;0
162;5;59;28/09/2010;61212,5;166;0
163;32;8;31/05/2010;31553,82;54;0
164;8;51;26/12/2009;44806,5;90;0
165;12;81;20/09/2010;21907,81;179;0
166;39;25;27/11/2006;41640,48;144;0
166;39;60;27/11/2006;24955,7;49;0
166;39;52;27/11/2006;18498,24;32;0
166;39;17;27/11/2006;9805,94;34;0
166;39;42;27/11/2006;66600,73;119;0
167;39;80;27/11/2007;93118,35;195;0
168;39;37;27/11/2008;43258,18;74;0
168;39;2;27/11/2008;86152,82;169;0
168;39;49;27/11/2008;56775;100;0
169;39;98;27/11/2009;25263,7;187;0
170;26;50;26/06/2009;59254,94;113;0
171;34;73;27/04/2010;41542,93;139;0
171;34;99;27/04/2010;54523,05;103;0
172;26;74;26/06/2006;2985,84;11;0
172;26;40;26/06/2006;11239,76;56;0
172;26;1;26/06/2006;2309,58;14;0
172;26;16;26/06/2006;13367,84;29;0
173;26;48;26/06/2005;64331,82;183;0
174;6;35;18/09/2007;36192;64;0
175;18;97;30/04/2009;114608,08;199;0
176;3;51;15/07/2010;21905,4;44;0
177;9;21;12/04/2009;86590,35;153;0
178;23;72;02/08/2010;3912,68;29;0
179;6;49;18/09/2005;63020,25;111;0
179;6;3;18/09/2005;35742,24;144;0
180;18;72;30/04/2005;20912,6;155;0
181;18;12;30/04/2007;33475,58;122;0
182;18;65;30/04/2006;5056,38;42;0
182;18;25;30/04/2006;49448,07;171;0
183;38;72;08/07/2010;14301,52;106;0
183;38;60;08/07/2010;49402,1;97;0
183;38;92;08/07/2010;10165,65;61;0
184;31;92;11/09/2005;3666,3;22;0
185;31;83;11/09/2006;18517,4;38;0
185;31;71;11/09/2006;6049,22;19;0
186;31;95;11/09/2007;25036,88;46;0
187;31;91;03/05/2005;80753,6;164;0
188;31;101;03/05/2007;29129,41;101;0
188;31;33;03/05/2007;60146,4;152;0
188;31;52;03/05/2007;113879,79;197;0
188;31;104;03/05/2007;21126,93;73;0
