orderDateID;Day;orderWeek;orderMonth;orderQuarter;orderYear;fiscalWeek;fiscalMonth;fiscalQuarter;fiscalYear
1;01/01/2004;1;1;1;2004;40;10;4;2003
2;02/01/2004;1;1;1;2004;40;10;4;2003
3;03/01/2004;1;1;1;2004;40;10;4;2003
4;04/01/2004;2;1;1;2004;40;10;4;2003
5;05/01/2004;2;1;1;2004;41;10;4;2003
6;06/01/2004;2;1;1;2004;41;10;4;2003
7;07/01/2004;2;1;1;2004;41;10;4;2003
8;08/01/2004;2;1;1;2004;41;10;4;2003
9;09/01/2004;2;1;1;2004;41;10;4;2003
10;10/01/2004;2;1;1;2004;41;10;4;2003
11;11/01/2004;3;1;1;2004;41;10;4;2003
12;12/01/2004;3;1;1;2004;42;10;4;2003
13;13/01/2004;3;1;1;2004;42;10;4;2003
14;14/01/2004;3;1;1;2004;42;10;4;2003
15;15/01/2004;3;1;1;2004;42;10;4;2003
16;16/01/2004;3;1;1;2004;42;10;4;2003
17;17/01/2004;3;1;1;2004;42;10;4;2003
18;18/01/2004;4;1;1;2004;42;10;4;2003
19;19/01/2004;4;1;1;2004;43;10;4;2003
20;20/01/2004;4;1;1;2004;43;10;4;2003
21;21/01/2004;4;1;1;2004;43;10;4;2003
22;22/01/2004;4;1;1;2004;43;10;4;2003
23;23/01/2004;4;1;1;2004;43;10;4;2003
24;24/01/2004;4;1;1;2004;43;10;4;2003
25;25/01/2004;5;1;1;2004;43;10;4;2003
26;26/01/2004;5;1;1;2004;44;10;4;2003
27;27/01/2004;5;1;1;2004;44;10;4;2003
28;28/01/2004;5;1;1;2004;44;10;4;2003
29;29/01/2004;5;1;1;2004;44;10;4;2003
30;30/01/2004;5;1;1;2004;44;10;4;2003
31;31/01/2004;5;1;1;2004;44;10;4;2003
32;01/02/2004;6;2;1;2004;44;11;4;2003
33;02/02/2004;6;2;1;2004;45;11;4;2003
34;03/02/2004;6;2;1;2004;45;11;4;2003
35;04/02/2004;6;2;1;2004;45;11;4;2003
36;05/02/2004;6;2;1;2004;45;11;4;2003
37;06/02/2004;6;2;1;2004;45;11;4;2003
38;07/02/2004;6;2;1;2004;45;11;4;2003
39;08/02/2004;7;2;1;2004;45;11;4;2003
